customer_id,email,total_orders,total_spent,location,iso2,returning_customer
CUST001,richard78@mccoy-moore.com,6,3953.38,Toronto,CA,yes
CUST002,ndavid@yahoo.com,6,4564.97,Tokyo,JP,yes
CUST003,shari64@guerrero-carpenter.com,6,3912.34,Toronto,CA,yes
CUST004,ryanwatson@hotmail.com,1,2983.07,London,GB,yes
CUST005,qwoods@gmail.com,2,2205.75,Singapore,SG,yes
CUST006,athomas@yahoo.com,1,770.1,London,GB,yes
CUST007,amandaweber@orr-martin.net,9,3421.54,Berlin,DE,yes
CUST008,drobles@yahoo.com,5,3243.87,Sydney,AU,no
CUST009,websterbrian@gmail.com,4,1130.35,Tokyo,JP,yes
CUST010,znewman@cooper.org,8,2233.42,London,GB,no
CUST011,juliajohnson@martin-ramirez.com,4,2712.31,Toronto,CA,yes
CUST012,kibarra@yahoo.com,1,2452.73,Singapore,SG,yes
CUST013,downsjoshua@booker-cameron.net,4,2364.46,Paris,FR,no
CUST014,monique66@morgan.info,5,158.22,Toronto,CA,yes
CUST015,rsanchez@gmail.com,2,1278.23,London,GB,yes
CUST016,maguilar@henderson-williams.com,1,125.25,Singapore,SG,yes
CUST017,scottevans@roberson.biz,6,3703.12,London,GB,no
CUST018,xarmstrong@hotmail.com,1,4548.66,Singapore,SG,no
CUST019,bowmanjudith@crawford.info,10,2148.3,Singapore,SG,no
CUST020,melissa75@wilson.net,3,3246.99,Berlin,DE,yes
